out_file;cost;depth;exp_nodes;frontier;time;
test/BFS-map5.txt;59;39;907;58;0,282397;
test/DFS-map5.txt;131;77;532;46;0,106299;
test/H0-Astar-map5.txt;59;39;311;46;0,033848;
test/H0-gg-map5.txt;59;39;128;42;0,00614;
test/H0-IDAstar-map5.txt;59;39;311;38;0,052891;
test/H0-IDDFS-map5.txt;75;47;505;33;0,089594;
test/H1-Astar-map5.txt;59;39;259;55;0,022423;
test/H1-gg-map5.txt;59;39;147;61;0,007269;
test/H1-IDAstar-map5.txt;59;39;259;44;0,046673;
test/H2-Astar-map5.txt;59;39;311;46;0,03287;
test/H2-gg-map5.txt;59;39;128;42;0,006266;
test/H2-IDAstar-map5.txt;59;39;311;38;0,053433;
